:ID,identifier,:LABEL
s1,JOCCH21-TSA039,SubmissionID
s2,ACL22-2135-P,SubmissionID
s3,ACL2020-XYZ123,SubmissionID
s4,ACL2020-XYZ,SubmissionID
s5,JOCCH22A5Q8Z,SubmissionID
s6,H202023GBM9,SubmissionID
s7,ACL2021-P1234,SubmissionID
s8,ACL2021-AMI,SubmissionID
s9,ACL2021,SubmissionID
s10,ACL2021-REV,SubmissionID
s11,ACL2021-CR,SubmissionID
s12,JDOC12345,SubmissionID
s13,JDOC23456,SubmissionID
s14,ACL2022-P01567,SubmissionID
s15,ACL2022,SubmissionID
s16,ACL2023-7890,SubmissionID
s17,ACL2023-CR,SubmissionID
s18,JOCCH5678ZX,SubmissionID
s19,JOCCH2023NHD15,SubmissionID
s20,JOCCH Resubmission,SubmissionID
s21,JOCCH1234XYZ,SubmissionID
s22,EMNLP2024XY45,SubmissionID
s23,EMNLP2024,SubmissionID
s24,ACL2025ABC123,SubmissionID
