NLQ,GOLD_ANS,QUESTION_TYPE,SYSTEM_ANS,Unnamed: 4
"What is Dr. Michael Bradley's professional title, as stated in his email signature?",Assistant Professor,single-hop,,
"What is Sunita Sen's professional title, as stated in her email signature?",PhD Scholar,single-hop,,
"What is the submission ID assigned to the manuscript ""Meta-Annotated Historical Texts: A Multi-Institutional Resource and Legal Protocol for South Asian Colonial Newspapers""?",SUB-JOCCH-2024-0421,single-hop,,
"In which volume and issue of the ACM Journal on Computing and Cultural Heritage was ""HistocrNLP: A Reproducible NLP Pipeline for Historical Texts across Domains"" scheduled for publication?","Volume 16, Issue 4 (September 2021)",single-hop,,
"What is the name of the oral presentation session in which ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"" was scheduled to appear at ACL 2021?",NLP for Historical Data and Digital Heritage,single-hop,,
"What is the submission ID for the paper ""Transnational NLP Reflection Memo: Protocol Harmonization and Compliance Lessons from Multinational Historical NLP Consortia"" submitted to ACL 2023?",SUB-ACL-2023-0321,single-hop,,
What is the Zoom meeting passcode provided for the JCDL 2023 submission review call?,NLPDH2023,single-hop,,
Which three institutions' grants were to be reflected in the funding acknowledgment confirmed during the 12 October coordination meeting for the ACL Resource Track paper?,"IACS, Stanford, Oxford DH Centre",multi-hop,,
What author order was confirmed for the ACL Resource Track submission during the 12 October coordination meeting?,"Sunita Sen (lead), Michael Bradley, Ananya Chatterjee, Ramesh Bhatia (last)",multi-hop,,
Which two grant funding calls did the team agree to target first during their grant proposal discussion?,"UKRI Digital Humanities, DST-India AI",multi-hop,,
"What is the title of the paper submitted under Submission ID SUB-JOCCH-2022-0362, and to which journal was it submitted?","Leveraging Multilingual NLP for Historical Data: Case Studies Across South Asian Texts, submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH)",multi-hop,,
Whose input was cited as informing the compliance and licensing statements for the SUB-JOCCH-2022-0362 manuscript submission?,IACS Legal and Ethics Committee,multi-hop,,
"Which three countries' collaborators did reviewers ask for greater specificity about regarding data-use agreements, in the ACL 2023 Revise & Resubmit decision for SUB-ACL-2023-0321?","Indian, UK, and US collaborators",multi-hop,,
Which two non-European countries' data management practices did JOCCH reviewers ask to be more concretely addressed in the major revision decision for SUB-JOCCH-2025-0472?,Chilean and Japanese,multi-hop,,
Which two institutions did Dr. Michael Bradley plan to contact to find non-Western data protection case studies for the SUB-JOCCH-2024-1143 major revision?,"National Diet Library of Japan, Biblioteca Nacional de Chile",multi-hop,,
"Which institution, and named contact, did Dr. Ananya Chatterjee plan to approach for an additional cross-border use case in Section 4.2 of the SUB-JOCCH-2024-1143 revision?",National Library of Israel; Dr. Mirit Farag,multi-hop,,
Does Submission ID SUB-JOCCH-2024-0421 correspond to only one manuscript title throughout the correspondence?,FALSE,reasoning,,
"Was Dr. Michael Bradley ever referred to as an ""Associate Professor"" anywhere in the correspondence?",FALSE,reasoning,,
Did the JCDL 2023 editorial decision on submission SUB-JCDL-2023-1174 require major revisions before camera-ready submission?,FALSE,reasoning,,
Was the camera-ready package for SUB-ACL-2024-2386 permitted to be amended after passing final compliance checks?,FALSE,reasoning,,
Was Sunita Sen designated as the lead author in the author order confirmed during the 12 October coordination meeting for the ACL Resource Track paper?,TRUE,reasoning,,
Did all three referees who reviewed SUB-JOCCH-2025-0472 recommend acceptance without revision?,FALSE,reasoning,,
Did the team's discussion of the UKRI Digital Humanities and DST-India AI grant calls occur before the ACL Resource Track paper's submission?,TRUE,reasoning,,
Did Dr. Michael Bradley and Dr. Ananya Chatterjee reach out to the same institution for their non-Western case studies in the SUB-JOCCH-2024-1143 major revision?,FALSE,reasoning,,
Was a data protection impact assessment (DPIA) requirement mentioned as part of the Chilean National Library's (Biblioteca Nacional de Chile) data governance practices?,TRUE,reasoning,,
What is the grant award or reference number associated with the UKRI Digital Humanities or DST-India AI funding proposals?,Not available,not available,,
"What academic rank or title (e.g., Lecturer, Reader, Professor) does Dr. Ananya Chatterjee hold at the University of Oxford?",Not available,not available,,
What DOI was assigned to the manuscript submitted under SUB-JOCCH-2025-0194?,Not available,not available,,
What was the final decision on submission SUB-ACL-2023-0321 after the Revise & Resubmit round?,Not available,not available,,
What are the names of the two external reviewers who evaluated submission SUB-JOCCH-2024-1143?,Not available,not available,,
